"date","bite","species","breed","gender","color","wherebitten","country"
2015,1,Dog,Rottweiler,Male,Blk Tan,Body,France
2015,1,Dog,Chichauhua,Male,Tan,Head,Belgium
2015,1,Dog,Pit Bull,Male,BLack Wht,Body,England
2015,1,Dog,Unknown,Male,Wht/Brn,Head,France
2015,1,Dog,Border Collie ,Male,Blk/Wht,Head,Ireland
2015,1,Dog,Unknown,Male,Tan,Head,Belgium
2015,1,Dog,Pit Bull,Female,Blue,Head,Netherlands
2015,1,Dog,Labrador Retriv,Unknown,Black,Head,Netherlands
2015,1,Dog,Shi Tzu,Male,Blk/Wht,Body,Belgium
2015,1,Dog,Malamute,Female,Unknown,Unknown,France
2015,1,Dog,Unknown,Unknown,Unknown,Body,Scotland
2015,1,Dog,Unknown,Unknown,Brn/WHT,Body,Denmark
2015,1,Dog,Unknown,Male,BLonde,Unknown,Belgium
2015,1,Dog,Unknown,Unknown,Unknown,Body,Scotland
2015,1,Dog,Pit Bull,Unknown,Black,Body,England
2015,1,Dog,Unknown,Unknown,Unknown,Body,Belgium
2015,1,Dog,Pit Bull,Male,Brown,Body,Netherlands
2015,1,Dog,Basset Hound,Male,Unknown,Unknown,Scotland
2015,1,Dog,Pit Bull,Unknown,Unknown,Unknown,Ireland
2015,1,Dog,Unknown,Unknown,Unknown,Body,Denmark
2015,1,Dog,Pit Bull,Male,Brn Wht,Body,Belgium
2015,1,Dog,Unknown,Unknown,Unknown,Unknown,Netherlands
2015,1,Dog,Shi Tzu,Unknown,Unknown,Head,France
2015,1,Dog,Pit Bull,Male,Brown Wht,Body,France
2015,1,Dog,Pit Bull,Male,Black,Head,Ireland
2015,1,Dog,Shi Tzu,Female,Gry Wht,Head,Scotland
2015,1,Dog,Gold Retriv,Unknown,Unknown,Unknown,Denmark
2015,1,Dog,Austt. Terr,Male,Blk Brn,Head,Netherlands
2015,1,Dog,Unknown,Unknown,Unknown,Body,Netherlands
2015,1,Dog,Beagle,Female,Wht Brn,Unknown,Belgium
2015,1,Dog,Pit Bull,Male,Brindle,Head,Belgium
2015,1,Dog,Germ Shepherd,Unknown,Unknown,Body,Belgium
2015,1,Dog,Basset Hound,Unknown,Tan Wht,Body,Netherlands
2015,1,Dog,Boxer,Male,Unknown,Body,Ireland
2016,1,Dog,Cocker Spaniel,Male,Multi Colo,Head,Scotland
2016,1,Dog,Husky,Male,White,Body,Germany
2016,1,Dog,Other,Male,Gold Red,Body,Belgium
2016,1,Dog,Pit Bull,Female,Gry/Wht,Body,Netherlands
2016,1,Dog,Germ Shepherd,Male,Unknown,Body,Netherlands
2016,1,Dog,Rat Terrier,Male,Liver Wht,Body,Netherlands
2016,1,Dog,Bullmastiff,Male,Blk Wht,Body,Belgium
2016,1,Dog,Labrador Retriv,Male,Tan,Body,Germany
2016,1,Dog,Beagle,Female,Unknown,Unknown,Scotland
2016,1,Dog,Unknown,Unknown,Unknown,Body,Scotland
2016,1,Dog,Unknown,Male,Blck,Unknown,Belgium
2016,1,Dog,Pit Bull,Female,Unknown,Unknown,Germany
2016,1,Dog,Shi Tzu,Female,White,Body,Denmark
2016,1,Dog,Unknown,Unknown,Unknown,Body,Denmark
2016,1,Dog,English Bulldog,Male,Wht Blk,Body,England
2016,1,Dog,Pit Bull,Male,Blk Wht,Body,Belgium
2016,1,Dog,Unknown,Unknown,Unknown,Body,Netherlands
2016,1,Dog,Pit Bull,Unknown,Gray Wht,Body,Netherlands
2016,1,Dog,Stan Poodle,Female,Black,Unknown,Germany
2016,1,Dog,Pomeranian,Unknown,Unknown,Body,Scotland
2016,1,Dog,Pit Bull,Male,Unknown,Body,Denmark
2016,1,Dog,Unknown,Unknown,Unknown,Unknown,Denmark
2016,1,Dog,Unknown,Male,Unknown,Body,Belgium
2016,1,Dog,Germ Shepherd,Male,Unknown,Body,Netherlands
2016,1,Dog,Pit Bull,Female,Gry/Wht,Body,Ireland
2016,1,Dog,Chichauhua,Female,Unknown,Head,England
2016,1,Dog,Malamute,Unknown,Unknown,Body,England
2016,1,Dog,Husky,Male,White,Body,Belgium
2016,1,Dog,Chow Chow,Female,Brown,Body,Denmark
2016,1,Dog,Other,Male,Black,Body,Ireland
2016,1,Dog,Unknown,Unknown,Unknown,Unknown,Germany
2016,1,Dog,Boxer,Male,Unknown,Unknown,Germany
2016,1,Dog,Boston Terrier,Male,Blck/Wht,Body,Netherlands
2017,1,Dog,Pit Bull,Female,Unknown,Head,Scotland
2017,1,Dog,Pit Bull,Female,Tan Wht,Body,Ireland
2017,1,Dog,Pit Bull,Male,Wht Blck,Body,Ireland
2017,1,Dog,Geyhound,Male,Brindle,Head,Germany
2017,1,Dog,Germ Shepherd,Male,Black,Body,Netherlands
2017,1,Dog,Pit Bull,Female,Brn/Wht,Body,Belgium
2017,1,Dog,Pit Bull,Male,White,Body,Scotland
2017,1,Dog,Pit Bull,Unknown,Unknown,Body,Netherlands
2017,1,Dog,Unknown,Unknown,Unknown,Head,Belgium
2017,1,Dog,Germ Shepherd,Male,White,Body,Germany
2017,1,Dog,Pit Bull,Unknown,Brn/Wht,Body,Netherlands
2017,1,Dog,Unknown,Unknown,Unknown,Body,Belgium
2017,1,Dog,Pit Bull,Female,Tan,Body,Scotland
2017,1,Dog,Havanese,Male,Black,Body,Ireland
2017,1,Dog,Cane Corso,Male,Black,Body,Scotland
2017,1,Dog,Pomeranian,Male,Red/Wht,Body,Germany
2017,1,Dog,Great Dane,Female,Black,Body,England
2017,1,Dog,Pit Bull,Female,White,Body,Germany
2017,1,Dog,Corgi,Male,Brn/Wht,Body,Belgium
2017,1,Dog,Unknown,Female,White,Head,Netherlands
2017,1,Dog,Unknown,Male,Blk/Wht,Body,Netherlands
2017,1,Dog,Golden Lab,Male,Tan,Body,Belgium
2017,1,Dog,Unknown,Male,Brown,Body,Germany
2017,1,Dog,Unknown,Unknown,Black,Body,Germany
2017,1,Dog,Pit Bull,Male,Brn/Blk,Body,Scotland
2017,1,Dog,Pit Bull,Male,Brn/Blk,Body,Netherlands
